Product_ID,Product_Category_1
P00000142,5
P00000242,5
P00000342,5
P00000442,5
P00000542,5
P00000642,5
P00000742,5
P00000842,5
P00000942,5
P00001042,5
P00001142,5
P00001242,5
P00001342,5
P00001442,5
P00001542,5
P00001642,5
P00001742,5
P00001842,16
P00001942,5
P00002042,5
P00002142,5
P00002242,5
P00002342,16
P00002442,5
P00002542,5
P00002642,5
P00002742,5
P00002842,5
P00002942,5
P00003042,5
P00003142,5
P00003242,5
P00003342,15
P00003442,5
P00003542,5
P00003642,5
P00003742,5
P00003842,5
P00003942,5
P00004042,5
P00004142,5
P00004242,5
P00004342,5
P00004442,5
P00004542,5
P00004642,5
P00004742,15
P00004842,5
P00004942,5
P00005042,6
P00005142,5
P00005242,5
P00005342,5
P00005442,5
P00005542,17
P00005642,5
P00005742,5
P00005842,5
P00005942,5
P00006042,5
P00006142,5
P00006242,5
P00006342,5
P00006442,5
P00006542,6
P00006642,5
P00006742,5
P00006842,5
P00006942,5
P00007042,5
P00007142,5
P00007242,5
P00007342,5
P00007442,5
P00007542,16
P00007642,5
P00007742,5
P00007842,5
P00007942,5
P00008042,5
P00008142,5
P00008242,5
P00008342,5
P00008442,5
P00008542,5
P00008642,5
P00008742,5
P00008842,5
P00008942,5
P00009042,5
P00009142,5
P00009242,5
P00009342,5
P00009442,5
P00009542,5
P00009642,5
P00009742,5
P00010042,5
P00010142,5
P00010242,5
P00010342,5
P00010442,5
P00010542,5
P00010642,5
P00010742,5
P00010842,5
P00010942,5
P00011042,5
P00011142,5
P00011242,5
P00011342,5
P00011442,5
P00011542,5
P00011642,5
P00011742,5
P00011842,5
P00011942,5
P00012042,5
P00012142,5
P00012242,5
P00012342,5
P00012442,5
P00012542,5
P00012742,5
P00012842,5
P00012942,5
P00013142,5
P00013242,16
P00013342,5
P00013442,5
P00013542,5
P00013642,5
P00013742,5
P00013842,5
P00013942,5
P00014042,5
P00014142,5
P00014242,5
P00014342,5
P00014442,16
P00014542,5
P00014642,5
P00014742,5
P00014842,5
P00014942,5
P00015042,5
P00015142,5
P00015242,5
P00015342,5
P00015442,5
P00015542,5
P00015642,5
P00015742,16
P00015842,5
P00015942,5
P00016042,5
P00016142,5
P00016242,5
P00016342,5
P00016442,5
P00016542,5
P00016642,5
P00016742,5
P00016842,5
P00016942,5
P00017042,5
P00017142,5
P00017242,11
P00017342,5
P00017442,11
P00017542,5
P00017642,5
P00017742,5
P00017842,5
P00017942,5
P00018042,15
P00018142,5
P00018242,5
P00018342,11
P00018442,5
P00018542,5
P00018642,5
P00018742,16
P00018842,5
P00018942,5
P00019042,5
P00019142,5
P00019242,5
P00019342,5
P00019442,5
P00019542,16
P00019642,5
P00019742,5
P00019842,5
P00019942,5
P00020042,5
P00020142,5
P00020242,5
P00020342,5
P00020442,8
P00020542,5
P00020642,5
P00020742,5
P00020842,5
P00020942,5
P00021042,5
P00021142,5
P00021242,5
P00021342,5
P00021442,5
P00021542,5
P00021642,5
P00021742,5
P00021842,5
P00021942,5
P00022042,6
P00022142,5
P00022242,5
P00022342,5
P00022442,5
P00022542,5
P00022642,5
P00022742,5
P00022842,5
P00022942,5
P00023042,5
P00023142,5
P00023242,16
P00023342,5
P00023442,15
P00023542,5
P00023642,5
P00023742,5
P00023842,5
P00023942,16
P00024042,5
P00024142,5
P00024242,5
P00024342,5
P00024442,5
P00024542,5
P00024642,5
P00024742,5
P00024842,5
P00024942,5
P00025042,5
P00025142,5
P00025242,5
P00025342,16
P00025442,5
P00025542,5
P00025642,5
P00025742,5
P00025842,5
P00025942,5
P00026042,5
P00026142,5
P00026242,5
P00026342,5
P00026442,5
P00026542,5
P00026642,5
P00026742,5
P00026842,5
P00026942,5
P00027042,5
P00027142,5
P00027242,5
P00027342,5
P00027442,5
P00027542,5
P00027642,5
P00027742,14
P00027842,6
P00027942,5
P00028042,5
P00028142,5
P00028242,5
P00028342,16
P00028442,5
P00028542,5
P00028642,5
P00028742,5
P00028842,5
P00028942,5
P00029042,5
P00029142,5
P00029242,5
P00029342,5
P00029442,5
P00029542,5
P00029642,5
P00029742,5
P00029842,5
P00029942,5
P00030042,5
P00030142,5
P00030242,5
P00030442,5
P00030542,5
P00030642,5
P00030742,5
P00030842,5
P00030942,5
P00031042,5
P00031142,5
P00031242,5
P00031342,5
P00031442,5
P00031542,5
P00031642,5
P00031742,5
P00031842,5
P00031942,5
P00032042,5
P00032142,5
P00032242,5
P00032342,5
P00032442,5
P00032542,5
P00032642,5
P00032742,8
P00032842,5
P00032942,16
P00033042,5
P00033142,6
P00033242,5
P00033342,5
P00033442,5
P00033542,5
P00033642,5
P00033742,5
P00033842,5
P00033942,5
P00034042,5
P00034142,5
P00034242,5
P00034342,5
P00034442,5
P00034542,5
P00034642,5
P00034742,5
P00034842,5
P00034942,5
P00035042,5
P00035142,5
P00035242,5
P00035342,7
P00035442,5
P00035542,5
P00035642,5
P00035742,5
P00035842,5
P00035942,5
P00036042,5
P00036142,5
P00036242,5
P00036342,5
P00036442,5
P00036542,5
P00036642,5
P00036742,5
P00036842,5
P00036942,5
P00037042,5
P00037142,5
P00037242,5
P00037342,5
P00037442,5
P00037542,5
P00037642,5
P00037742,11
P00037842,5
P00037942,5
P00038042,5
P00038142,5
P00038242,5
P00038342,5
P00038442,5
P00038542,5
P00038642,5
P00038742,5
P00038842,5
P00039142,5
P00039242,5
P00039342,5
P00039442,5
P00039542,5
P00039642,11
P00039742,5
P00039842,5
P00039942,5
P00040042,5
P00040142,5
P00040242,5
P00040342,5
P00040442,5
P00040542,5
P00040642,5
P00040742,5
P00040842,5
P00040942,5
P00041042,5
P00041142,18
P00041242,5
P00041342,5
P00041442,5
P00041542,5
P00041642,5
P00041742,5
P00041842,5
P00041942,5
P00042042,5
P00042142,5
P00042242,5
P00042342,5
P00042442,5
P00042542,5
P00042742,5
P00042842,5
P00042942,5
P00043042,16
P00043142,5
P00043242,5
P00043342,5
P00043442,5
P00043542,5
P00043642,5
P00043742,5
P00043842,5
P00043942,5
P00044042,5
P00044142,5
P00044242,5
P00044342,5
P00044442,5
P00044542,5
P00044642,5
P00044742,5
P00044842,5
P00044942,5
P00045042,8
P00045142,5
P00045242,5
P00045342,5
P00045442,5
P00045542,5
P00045642,5
P00045742,5
P00045842,5
P00045942,5
P00046042,5
P00046142,5
P00046242,5
P00046342,5
P00046442,5
P00046542,5
P00046642,5
P00046742,5
P00046842,5
P00046942,5
P00047042,5
P00047142,8
P00047242,5
P00047342,5
P00047442,5
P00047542,5
P00047642,5
P00047742,5
P00047842,5
P00047942,5
P00048042,5
P00048142,5
P00048242,5
P00048342,5
P00048442,5
P00048542,5
P00048642,5
P00048742,5
P00048842,5
P00048942,8
P00049042,5
P00049142,5
P00049242,5
P00049342,5
P00049442,5
P00049542,5
P00049642,5
P00049742,5
P00049842,5
P00049942,5
P00050042,5
P00050142,5
P00050242,5
P00050342,5
P00050442,5
P00050542,5
P00050642,15
P00050742,5
P00050842,5
P00050942,5
P00051042,5
P00051142,5
P00051242,5
P00051342,18
P00051442,5
P00051542,5
P00051642,5
P00051742,5
P00051842,5
P00051942,5
P00052042,5
P00052142,5
P00052242,5
P00052342,11
P00052442,5
P00052542,5
P00052642,5
P00052742,16
P00052842,16
P00052942,5
P00053042,5
P00053142,5
P00053242,5
P00053342,5
P00053442,5
P00053542,5
P00053642,5
P00053742,5
P00053842,5
P00053942,5
P00054042,18
P00054142,16
P00054242,5
P00054342,5
P00054442,5
P00054542,5
P00054642,5
P00054742,5
P00054842,5
P00054942,5
P00055042,11
P00055142,5
P00055242,5
P00055342,5
P00055442,5
P00055542,5
P00055642,5
P00055742,5
P00055842,5
P00055942,5
P00056042,5
P00056142,5
P00056242,5
P00056342,5
P00056442,8
P00056542,5
P00056642,5
P00056742,5
P00056842,5
P00057042,5
P00057242,5
P00057342,5
P00057442,5
P00057542,5
P00057642,5
P00057742,5
P00057942,5
P00058042,5
P00058142,5
P00058242,5
P00058342,5
P00058442,5
P00058542,8
P00058642,5
P00058742,16
P00058942,10
P00059042,5
P00059142,5
P00059242,5
P00059342,5
P00059442,5
P00059542,8
P00059642,5
P00059742,5
P00059842,5
P00059942,5
P00060042,5
P00060142,5
P00060242,5
P00060342,5
P00060442,5
P00060542,5
P00060642,5
P00060742,5
P00060942,5
P00061042,5
P00061142,5
P00061242,5
P00061342,5
P00061442,17
P00061542,5
P00061742,5
P00061842,5
P00061942,14
P00062042,5
P00062142,5
P00062342,5
P00062442,5
P00062642,5
P00062742,5
P00062842,5
P00062942,5
P00063042,5
P00063242,5
P00063342,5
P00063442,5
P00063542,5
P00063642,5
P00063742,5
P00063842,6
P00064042,5
P00064142,16
P00064242,5
P00064342,5
P00064442,15
P00064542,5
P00064642,5
P00064742,5
P00064842,5
P00064942,5
P00065042,5
P00065142,14
P00065242,5
P00065342,5
P00065442,5
P00065542,5
P00065642,15
P00065742,5
P00065842,16
P00065942,5
P00066042,5
P00066142,5
P00066242,5
P00066342,5
P00066442,5
P00066542,5
P00066642,5
P00066742,5
P00066842,16
P00066942,5
P00067042,5
P00067142,5
P00067342,5
P00067442,11
P00067542,5
P00067642,5
P00067742,5
P00067842,16
P00067942,5
P00068042,5
P00068142,5
P00068242,5
P00068342,5
P00068442,5
P00068542,5
P00068642,6
P00068742,5
P00068842,5
P00068942,5
P00069042,6
P00069142,5
P00069242,8
P00069342,5
P00069442,5
P00069542,5
P00069642,5
P00069742,5
P00069842,5
